experiment_num,dataset,method,phenotype,mse_train,rmse_train,r2_train,mse_val,rmse_val,r2_val,mse_test,rmse_test,r2_test,gp_runtime_seconds,eval_time_seconds,eval_memory_mb,total_memory_mb
1,CARSALES,Persistence,y_t = y_{t-1},0.9807692307692307,0.9903379376602871,0.9956458635703919,450.1666666666667,21.217131442932306,-3.1714285714285717,143.5,11.979148550710939,-3.3157894736842106,,1.811981201171875e-05,0.0,414.890625
1,Electricity,Persistence,y_t = y_{t-1},0.996031746031746,0.9980139007206994,0.9998117824204781,9605.0,98.00510190801293,-3.0357142857142856,1441.0,37.960505792204614,-3.09375,,9.059906005859375e-06,0.0,416.21875
1,GAS,Persistence,y_t = y_{t-1},0.9905660377358491,0.9952718411247498,0.9989419855404691,1764.1666666666667,42.00198408012015,-3.084507042253521,72.5,8.514693182963201,-3.4615384615384617,,8.821487426757812e-06,0.0,416.09375
1,LAKEERIE,Persistence,y_t = y_{t-1},0.9966666666666667,0.9983319421247958,0.9998671096345515,13433.5,115.90297666583028,-3.0301507537688446,3383.5,58.16786054171152,-3.0606060606060606,,9.298324584960938e-06,0.0,416.109375
1,Nordic,Persistence,y_t = y_{t-1},0.9993386243386243,0.9996692574740029,0.9999947544560895,339865.0,582.9794164462413,-3.0059523809523814,120300.16666666667,346.84314418288085,-3.010016694490818,,1.1205673217773438e-05,0.0,416.125
1,PIGS,Persistence,y_t = y_{t-1},0.989010989010989,0.9944903161976938,0.9985666507405638,1312.5,36.2284418654736,-3.0983606557377046,426.0,20.639767440550294,-3.1764705882352944,,9.059906005859375e-06,0.0,416.125
1,POLLUTION,Persistence,y_t = y_{t-1},0.9857142857142858,0.992831448793946,0.9975855130784709,792.1666666666666,28.145455524234578,-3.127659574468085,54.166666666666664,7.359800721939872,-3.545454545454546,,6.9141387939453125e-06,0.0,416.140625
1,REDWINE,Persistence,y_t = y_{t-1},0.98989898989899,0.9949366763261821,0.9987878787878788,1485.1666666666667,38.537860172389784,-3.092307692307692,172.5,13.133925536563698,-3.2857142857142856,,7.867813110351562e-06,0.0,416.140625
1,SUNSPOT,Persistence,y_t = y_{t-1},0.9935897435897436,0.9967897188423162,0.9995100440960314,3657.5,60.47726845683426,-3.058252427184466,275.5,16.59819267269783,-3.2222222222222223,,8.106231689453125e-06,0.0,416.15625
1,B1H,Persistence,y_t = y_{t-1},0.9987714987714987,0.9993855606178722,0.9999819116383534,98554.66666666667,313.9341756908073,-3.011070110701107,30150.166666666668,173.63803346809323,-3.0200668896321075,,1.0967254638671875e-05,0.0,416.171875
1,CARSALES,Persistence,y_t = y_{t-1},0.9807692307692307,0.9903379376602871,0.9956458635703919,450.1666666666667,21.217131442932306,-3.1714285714285717,143.5,11.979148550710939,-3.3157894736842106,,9.059906005859375e-06,0.0,429.875
1,Electricity,Persistence,y_t = y_{t-1},0.996031746031746,0.9980139007206994,0.9998117824204781,9605.0,98.00510190801293,-3.0357142857142856,1441.0,37.960505792204614,-3.09375,,6.9141387939453125e-06,0.0,431.0
1,GAS,Persistence,y_t = y_{t-1},0.9905660377358491,0.9952718411247498,0.9989419855404691,1764.1666666666667,42.00198408012015,-3.084507042253521,72.5,8.514693182963201,-3.4615384615384617,,1.0013580322265625e-05,0.0,431.0
1,LAKEERIE,Persistence,y_t = y_{t-1},0.9966666666666667,0.9983319421247958,0.9998671096345515,13433.5,115.90297666583028,-3.0301507537688446,3383.5,58.16786054171152,-3.0606060606060606,,9.298324584960938e-06,0.0,430.546875
1,Nordic,Persistence,y_t = y_{t-1},0.9993386243386243,0.9996692574740029,0.9999947544560895,339865.0,582.9794164462413,-3.0059523809523814,120300.16666666667,346.84314418288085,-3.010016694490818,,1.4781951904296875e-05,0.0,430.953125
1,PIGS,Persistence,y_t = y_{t-1},0.989010989010989,0.9944903161976938,0.9985666507405638,1312.5,36.2284418654736,-3.0983606557377046,426.0,20.639767440550294,-3.1764705882352944,,1.0013580322265625e-05,0.0,430.96875
1,POLLUTION,Persistence,y_t = y_{t-1},0.9857142857142858,0.992831448793946,0.9975855130784709,792.1666666666666,28.145455524234578,-3.127659574468085,54.166666666666664,7.359800721939872,-3.545454545454546,,6.9141387939453125e-06,0.0,430.96875
1,REDWINE,Persistence,y_t = y_{t-1},0.98989898989899,0.9949366763261821,0.9987878787878788,1485.1666666666667,38.537860172389784,-3.092307692307692,172.5,13.133925536563698,-3.2857142857142856,,9.059906005859375e-06,0.0,430.96875
1,SUNSPOT,Persistence,y_t = y_{t-1},0.9935897435897436,0.9967897188423162,0.9995100440960314,3657.5,60.47726845683426,-3.058252427184466,275.5,16.59819267269783,-3.2222222222222223,,8.821487426757812e-06,0.0,430.96875
1,B1H,Persistence,y_t = y_{t-1},0.9987714987714987,0.9993855606178722,0.9999819116383534,98554.66666666667,313.9341756908073,-3.011070110701107,30150.166666666668,173.63803346809323,-3.0200668896321075,,1.0967254638671875e-05,0.0,430.984375
